"LOCATION","Country","STATISTICS","Reference Statistics","UNIT_MEASURE","Unit of measurement","TIME","Year","Value","Flag Codes","Flags"
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1995","1995",528928,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1996","1996",556628,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1997","1997",589220,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1998","1998",621388,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1999","1999",662160,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2000","2000",706896,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2001","2001",756034,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2002","2002",802694,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2003","2003",863620,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2004","2004",924926,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2005","2005",998904,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2006","2006",1088284,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2007","2007",1179153,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2008","2008",1261261,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2009","2009",1304017,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2010","2010",1418403,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2011","2011",1500176,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2012","2012",1536498,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2013","2013",1598597,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2014","2014",1623305,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2015","2015",1657538,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2016","2016",1758828,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2017","2017",1842635,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2018","2018",1946613,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2019","2019",1979471,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2020","2020",2080419,,
"AUS","Australia","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2021","2021",2309051,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","1996","1996",542778,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","1997","1997",572924,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","1998","1998",605304,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","1999","1999",641774,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2000","2000",684528,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2001","2001",731465,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2002","2002",779364,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2003","2003",833157,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2004","2004",894273,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2005","2005",961915,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2006","2006",1043594,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2007","2007",1133718.5,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2008","2008",1220207,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2009","2009",1282639,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2010","2010",1361210,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2011","2011",1459289.5,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2012","2012",1518337,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2013","2013",1567547.5,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2014","2014",1610951,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2015","2015",1640421.5,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2016","2016",1708183,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2017","2017",1800731.5,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2018","2018",1894624,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2019","2019",1963042,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2020","2020",2029945,,
"AUS","Australia","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2021","2021",2194735,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","1996","1996",29782.385,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","1997","1997",31098.301,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","1998","1998",32529.934,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","1999","1999",34114.594,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2000","2000",35973.262,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2001","2001",37949.488,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2002","2002",39977.227,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2003","2003",42247.84,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2004","2004",44864.621,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2005","2005",47674.309,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2006","2006",51028.996,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2007","2007",54433.469,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2008","2008",57423.668,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2009","2009",59130.406,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2010","2010",61783.875,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2011","2011",65321.82,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2012","2012",66788.531,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2013","2013",67776.75,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2014","2014",68622.063,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2015","2015",68878.969,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2016","2016",70612.625,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2017","2017",73194.813,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2018","2018",75837.438,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2019","2019",77389.625,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2020","2020",79006.781,,
"AUS","Australia","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2021","2021",85271.836,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1995","1995",182031,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1996","1996",186928,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1997","1997",189302,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1998","1998",223111,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","1999","1999",234151,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2000","2000",257842,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2001","2001",272211,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2002","2002",281624,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2003","2003",303852,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2004","2004",325344,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2005","2005",348169,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2006","2006",377546,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2007","2007",408267,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2008","2008",466269,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2009","2009",499529,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2010","2010",523393,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2011","2011",558196,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2012","2012",558425,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2013","2013",585291,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2014","2014",597036,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2015","2015",621980,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2016","2016",647632,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2017","2017",681663,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2018","2018",716991,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2019","2019",827901,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2020","2020",920084,,
"AUS","Australia","T_PUB_EXP","Total Government Expenditure (mln)","LOCAL_CUR","Local currency","2021","2021",917333,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1995","1995",176608.75,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1996","1996",182540.88,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1997","1997",188723.77,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1998","1998",196346.61,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","1999","1999",203850.58,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2000","2000",213606.48,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2001","2001",220525.08,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2002","2002",226735.22,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2003","2003",231862.45,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2004","2004",242348.27,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2005","2005",254075.03,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2006","2006",267824.44,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2007","2007",283977.97,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2008","2008",293761.91,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2009","2009",288044.03,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2010","2010",295896.63,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2011","2011",310128.66,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2012","2012",318653.03,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2013","2013",323910.19,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2014","2014",333146.06,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2015","2015",344269.22,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2016","2016",357607.94,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2017","2017",369361.88,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2018","2018",385274.09,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2019","2019",397169.53,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2020","2020",381042.47,,
"AUT","Austria","GDP","Gross Domestic Product (mln)","LOCAL_CUR","Local currency","2021","2021",406148.66,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","1995","1995",176608.75,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","1996","1996",182540.88,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","1997","1997",188723.77,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","1998","1998",196346.61,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","1999","1999",203850.58,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2000","2000",213606.48,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2001","2001",220525.08,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2002","2002",226735.22,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2003","2003",231862.45,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2004","2004",242348.27,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2005","2005",254075.03,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2006","2006",267824.44,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2007","2007",283977.97,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2008","2008",293761.91,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2009","2009",288044.03,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2010","2010",295896.63,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2011","2011",310128.66,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2012","2012",318653.03,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2013","2013",323910.19,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2014","2014",333146.06,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2015","2015",344269.22,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2016","2016",357607.94,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2017","2017",369361.88,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2018","2018",385274.09,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2019","2019",397169.53,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2020","2020",381042.47,,
"AUT","Austria","GDP_ADJ","Gross Domestic Product - Adjusted (mln)","LOCAL_CUR","Local currency","2021","2021",406148.66,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","1995","1995",22219.75,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","1996","1996",22935.107,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","1997","1997",23685.09,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","1998","1998",24614.742,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","1999","1999",25505.799,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2000","2000",26662.264,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2001","2001",27420.672,,
"AUT","Austria","GDP_CAPITA","GDP per Capita","LOCAL_CUR","Local currency","2002","2002",28053.926,,
