"COUNTRY","Country","INDICATOR","Indicator","EDUCATION_LEV","Education level","REF_SECTOR","Reference sector","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2013","2013",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2014","2014",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2015","2015",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2016","2016",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2017","2017",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2018","2018",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2019","2019",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2020","2020",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2021","2021",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2013","2013",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2014","2014",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2015","2015",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2016","2016",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2017","2017",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2018","2018",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2019","2019",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2020","2020",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2021","2021",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2013","2013",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2014","2014",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2015","2015",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2016","2016",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2017","2017",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2018","2018",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2019","2019",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2020","2020",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2021","2021",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2013","2013",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2014","2014",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2015","2015",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2016","2016",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2017","2017",,"o","Missing value"
