"COUNTRY","Country","ISC11","Level of education","EXP","Experience level","QUAL","Qualification level","GRADE","Category","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","L1","Primary education","EXP0","Starting salary","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",47990.993,,
"AUS","Australia","L2_C4","Lower secondary general education","EXP0","Starting salary","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",47989.827,,
"AUS","Australia","L3_C4","Upper secondary general education","EXP0","Starting salary","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",47989.827,,
"AUS","Australia","L1","Primary education","EXP10","Salary after 10 years of experience","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",67948.848,,
"AUS","Australia","L2_C4","Lower secondary general education","EXP10","Salary after 10 years of experience","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",67817.578,,
"AUS","Australia","L3_C4","Upper secondary general education","EXP10","Salary after 10 years of experience","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",67817.578,,
"AUS","Australia","L1","Primary education","EXP15","Salary after 15 years of experience","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",69512.772,,
"AUS","Australia","L2_C4","Lower secondary general education","EXP15","Salary after 15 years of experience","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",69368.953,,
"AUS","Australia","L3_C4","Upper secondary general education","EXP15","Salary after 15 years of experience","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",69368.953,,
"AUS","Australia","L1","Primary education","EXPMAX","Salary at top of scale","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",75485.622,,
"AUS","Australia","L2_C4","Lower secondary general education","EXPMAX","Salary at top of scale","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",75602.845,,
"AUS","Australia","L3_C4","Upper secondary general education","EXPMAX","Salary at top of scale","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",75602.845,,
"AUT","Austria","L1","Primary education","EXP0","Starting salary","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",49646.455,,
"AUT","Austria","L2_C4","Lower secondary general education","EXP0","Starting salary","QUAL_TYP_ISC11_EXP","Most prevalent qualifications at this stage of career and this level of education","TE","Teacher","USD_STAT_YR","Annual statutory salaries in public institutions, in equivalent USD converted using PPPs for private consumption","9999","Latest available year",49646.455,,
